Handle,Title,Product Description,SKU,Collection,Shipping Measurements,Specifications,Information,Recommendation,Care,Technical information,Measures,Form,Unit per box,Color,Material,Business type,Country of origin,Chipping resistance,Shock resistance,Porosity,Reinforced edges,Dishwasher,Microwave,Conventional oven
101-703624-plato-sopa-23-cm-actualite,PLATO SOPA 23 CM ACTUALITE,Actualite de Corona. Plato de Porcelana Sopa 23 cm,101-703624,VAJILLA,31x23.5x24,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Plato para diversas sopas o cremas.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 30 piezas en platos mayores de 22 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,23 cm,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-707724-botanera-de-14-x-10.7-cm-actualite,BOTANERA DE 14 X 10.7 CM ACTUALITE,Actualite de Corona. Botanera de Porcelana 14 x 10.7 cm,101-707724,VAJILLA,26x14x15,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Botanero de Porcelana, para compartir en la mesa.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 15 piezas en piezas menores de 20 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,14 x 10.7 cm,Rectangular,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería, Bar",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-708712-azucarera-con-tapa-8-oz-actualite,AZUCARERA CON TAPA 8 OZ ACTUALITE,Actualite de Corona. Azucarera con Tapa de Porcelana 8 oz,101-708712,VAJILLA,30x22.55x22,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Ideal para todo tipo de ázucar en grano o terrón.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto No Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Producto no apilable
Para quitar manchas,sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,8 oz,Redonda,12,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-709812-salero-8-cm-actualite,SALERO 8 CM ACTUALITE,Actualite de Corona. Salero de Porcelana 8 cm,101-709812,VAJILLA,21x15x21,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Salero de Porcelana.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto No Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Producto no apilable.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,8 cm,Redonda,12,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,N/A,N/A,N/A
101-709912-pimentero-8-cm-actualite,PIMENTERO 8 CM ACTUALITE,Actualite de Corona. Pimentero de Porcelana 8 cm,101-709912,VAJILLA,21x15x21,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Pimentero de Porcelana.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto No Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Producto no apilable.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,8 cm,Redonda,12,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,N/A,N/A,N/A
101-712324-plato-coupe-23-cm-actualite-*sustituye-101-712324n*,PLATO COUPE 23 CM ACTUALITE *SUSTITUYE 101-712324N*,Actualite de Corona. Plato de Porcelana Coupe 23 cm,101-712324,VAJILLA,34x25x24,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Plato para platillos que requieren amplitud en su contorno.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 30 piezas en platos mayores de 22 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,23 cm,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-715124-bowl-multiusos-12-3/4-oz-actualite,BOWL MULTIUSOS 12 3/4 OZ ACTUALITE,Actualite de Corona. Bowl de Porcelana Multiusos 12 3/4 oz,101-715124,VAJILLA,40x27x17,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Bowl Multiusos, para Cereal, Ensaladas Individuales.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 15 piezas en bowls menores de 22 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,12 3/4 oz,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-804024-taza-moka-2-1/2-oz-no-apilable-actualite,TAZA MOKA 2 1/2 OZ NO APILABLE ACTUALITE,Actualite de Corona. Taza Moka de Porcelana No Apilable 2 1/2 oz,101-804024,VAJILLA,32x24.5x15,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Taza Moka o Espresso de poca capacidad.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto No Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Producto no apilable.
Manchas de café, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,2 1/2 oz,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-807224-ramekin-liso-3-oz-actualite,RAMEKIN LISO 3 OZ ACTUALITE,Actualite de Corona. Ramekin LIso de Porcelana 3 oz,101-807224,VAJILLA,33x25x15.5,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Ramekin Liso de Porcelana.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 15 piezas en piezas menores de 20 cm.
Para quitar manchas,, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,3 oz,Redonda,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,N/A,N/A,N/A
101-809512-plato-olas-25-x-22-cm-actualite,PLATO OLAS 25 X 22 CM ACTUALITE,Actualite de Corona. Plato de Porcelana Olas 25 x 22 cm,101-809512,VAJILLA,27x25x24,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Plato para creaciones culinarias con diseño.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 30 piezas en platos mayores de 22 cm.
Para quitar manchas,sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,25 x 22 cm,Cuadrado,12,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-809612-plato-sarten-26-cm-actualite,PLATO SARTEN 26 CM ACTUALITE,Actualite de Corona. Plato de Porcelana Sartén 26 cm,101-809612,VAJILLA,43x36x25,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Plato auténtico para gratinar y hacer presentaciones muy auténticas.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 30 piezas en platos mayores de 22 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,26 cm,Redondo,12,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-900124-plato-p/taza-moka-13-cm-actualite,PLATO P/TAZA MOKA 13 CM ACTUALITE,Actualite de Corona. Plato de Porcelana para Taza Moka 13 cm,101-900124,VAJILLA,21x14x14,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Captura las gotas o derrames.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 15 piezas en platos menores de 20 cm.
Manchas de café, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,13 cm,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-900324-plato-p/taza-cafe-16-cm-actualite,PLATO P/TAZA CAFE 16 CM ACTUALITE,Actualite de Corona. Plato de Porcelana para Taza Café 16 cm,101-900324,VAJILLA,29x17.5x17,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Captura las gotas o derrames.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 15 piezas en platos menores de 20 cm.
Manchas de café, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,16 cm,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-901424-plato-trinche-16-cm-actualite,PLATO TRINCHE 16 CM ACTUALITE,Actualite de Corona. Plato de Porcelana Trinche 16 cm,101-901424,VAJILLA,25x17.5x17.5,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Plato para platillos fuertes y presentaciones culinarias muy auténticas..
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 15 piezas en platos menores de 20 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,16 cm,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-902024-plato-trinche-20-cm-actualite,PLATO TRINCHE 20 CM ACTUALITE,Actualite de Corona. Plato de Porcelana Trinche 20 cm,101-902024,VAJILLA,25x21x21.5,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Plato para platillos fuertes y presentaciones culinarias muy auténticas..
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 15 piezas en platos menores de 20 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,20 cm,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-902324-plato-trinche-23-cm-actualite,PLATO TRINCHE 23 CM ACTUALITE,Actualite de Corona. Plato de Porcelana Trinche 23 cm,101-902324,VAJILLA,24.5x24.5x24.5,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Plato para platillos fuertes y presentaciones culinarias muy auténticas..
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 30 piezas en platos mayores de 22 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,23 cm,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-902524-plato-trinche-25-cm-actualite,PLATO TRINCHE 25 CM ACTUALITE,Actualite de Corona. Plato de Porcelana Trinche 25 cm,101-902524,VAJILLA,32x27x27,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Plato para platillos fuertes y presentaciones culinarias muy auténticas..
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 30 piezas en platos mayores de 22 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,25 cm,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-902724-plato-trinche-27-cm-actualite,PLATO TRINCHE 27 CM ACTUALITE,Actualite de Corona. Plato de Porcelana Trinche 25 cm,101-902724,VAJILLA,27.5x27.5x28,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Plato para platillos fuertes y presentaciones culinarias muy auténticas..
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 30 piezas en platos mayores de 22 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,25 cm,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-902912-plato-trinche-31-cm-actualite,PLATO TRINCHE 31 CM ACTUALITE,Actualite de Corona. Plato de Porcelana Trinche 31 cm,101-902912,VAJILLA,32x19x31.5,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Plato para platillos fuertes y presentaciones culinarias muy auténticas..
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 30 piezas en platos mayores de 22 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,31 cm,Redondo,12,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-904124-taza-moka-3-oz-apilable-actualite,TAZA MOKA 3 OZ APILABLE ACTUALITE,Actualite de Corona. Taza Moka de Porcelana Apilable 3 oz,101-904124,VAJILLA,32.5x25x15,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Taza Moka o Espresso de poca capacidad.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Manchas de café, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,3 oz,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-904224-taza-cafe-moka-redonda-3-1/2-oz-actualite-blanco,TAZA CAFE MOKA REDONDA 3 1/2 OZ ACTUALITE BLANCO,Actualite de Corona. Taza Moka de Porcelana No Apilable 3 1/2  oz,101-904224,VAJILLA,32.5x25x15,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Taza Moka o Espresso de poca capacidad.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto No Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Producto no apilable.
Manchas de café, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,3 1/2 oz,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-904324-taza-cafe-apilable-7-oz-actualite,TAZA CAFE APILABLE 7 OZ ACTUALITE,Actualite de Corona. Taza Café de Porcelana Apilable 7 oz,101-904324,VAJILLA,40x30x18,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Taza para Café o Té.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Manchas de café, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,7 oz,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
